satellite,time-per-sat
0,1.0390000000000001
1,2.4189999999999996
2,66.969
3,38.321
4,4.802999999999999
5,1.9999999999999998
6,70.731
7,51.282000000000004
8,39.601000000000006
9,28.741999999999997
