1698662319842,3.572,-0.100,3.552,0.000,4.436,-179.700,5.032,264.500,1.620,-0.200,3.488,-0.100,1.528,-0.300,3.144,-0.200,38.628
1698662319938,3.560,-0.100,3.584,0.000,4.432,-177.300,5.028,256.500,1.620,-0.100,3.480,0.000,1.528,-0.300,3.168,-0.200,38.628
1698662320035,3.536,-0.200,3.592,-0.100,4.436,-172.800,5.032,259.600,1.620,-0.200,3.468,0.000,1.532,-0.300,3.160,-0.200,38.628
1698662320131,3.520,-0.200,3.600,0.000,4.436,-178.200,5.032,257.400,1.620,-0.200,3.456,0.000,1.532,-0.300,3.132,-0.200,38.628
1698662320228,3.532,-0.200,3.604,-0.100,4.436,-178.100,5.032,251.300,1.620,-0.200,3.448,-0.100,1.532,-0.300,3.124,-0.100,38.628
1698662320324,3.552,-0.100,3.604,0.000,4.436,-178.700,5.032,251.700,1.620,-0.200,3.444,0.000,1.528,-0.300,3.168,-0.100,38.628
1698662320421,3.572,-0.100,3.604,0.000,4.436,-176.800,5.032,246.200,1.616,-0.200,3.444,-0.100,1.528,-0.300,3.152,-0.200,38.628
1698662320517,3.568,-0.200,3.596,-0.100,4.436,-175.800,5.032,268.900,1.616,-0.200,3.452,-0.100,1.528,-0.300,3.124,-0.200,38.628
1698662320614,3.524,-0.200,3.588,0.000,4.428,-178.000,5.028,249.000,1.620,-0.200,3.464,0.000,1.528,-0.300,3.124,-0.200,38.628
1698662320711,3.540,-0.100,3.580,0.000,4.436,-179.200,5.032,252.000,1.620,-0.200,3.476,-0.100,1.528,-0.300,3.148,-0.200,38.628
1698662320807,3.560,-0.200,3.572,-0.100,4.436,-178.100,5.032,248.200,1.616,-0.200,3.476,-0.100,1.524,-0.300,3.168,-0.200,39.166
1698662320903,3.572,-0.200,3.564,-0.100,4.436,-177.500,5.032,248.800,1.616,-0.200,3.464,0.000,1.524,-0.300,3.152,-0.100,38.628
1698662321000,3.560,-0.200,3.572,0.000,4.436,-177.400,5.032,254.000,1.616,-0.200,3.452,0.000,1.524,-0.300,3.128,-0.200,39.166
1698662321096,3.536,-0.200,3.580,-0.100,4.436,-175.100,5.028,251.500,1.616,-0.100,3.444,0.000,1.524,-0.300,3.124,-0.200,39.166
1698662321192,3.520,-0.200,3.588,-0.100,4.432,-178.600,5.032,268.500,1.620,-0.200,3.444,0.000,1.532,-0.300,3.148,-0.200,38.628
1698662321289,3.532,-0.200,3.596,0.000,4.428,-174.600,5.032,283.000,1.620,-0.200,3.448,-0.100,1.524,-0.300,3.168,-0.200,39.166
1698662321392,3.556,-0.200,3.600,0.000,4.436,-177.300,5.036,254.700,1.624,-0.300,3.460,0.000,1.528,-0.300,3.156,-0.200,38.628
