satellite,total_consume
0,1885.6548
1,4477.4379
2,117634.02999999998
3,69928.00313
4,8680.5441
5,2891.9139999999998
6,128030.06800000003
7,93757.20290000002
8,70630.63410000001
9,50340.31319999999
