satellite,total_consume
0,1879.4776000000002
1,4463.466399999998
2,118320.36000000002
3,69893.63951000001
4,8686.8677
5,2907.1140000000005
6,128654.78199999999
7,94428.72979999997
8,70794.8988
9,50541.01260000001
