satellite,total_consume
0,1859.5127
1,4450.9752
2,118463.78999999998
3,69734.44361
4,8595.6516
5,2891.4289999999996
6,127537.21500000001
7,93616.54460000002
8,71075.88750000001
9,50675.59319999999
