satellite,total_consume
0,1865.8298000000002
1,4377.5533000000005
2,118145.79000000001
3,69480.32731000001
4,8659.954600000001
5,2882.1739999999995
6,128088.13400000002
7,93912.2942
8,70097.31349999999
9,49912.9919
