satellite,total_consume
0,1915.5706999999998
1,4561.808100000001
2,120053.04000000002
3,70139.37195999999
4,8657.343199999998
5,2914.6
6,129304.552
7,94403.31600000002
8,71125.7787
9,50989.112499999996
