satellite,total_consume
0,1865.5236999999995
1,4511.0522
2,118783.47999999998
3,69802.72875
4,8744.3804
5,2911.7430000000004
6,128750.12499999999
7,94389.03209999997
8,71361.11720000001
9,50864.71889999999
