satellite,total_consume
0,1881.7871
1,4505.0763000000015
2,118970.32999999999
3,69924.88184999999
4,8621.2232
5,2906.7990000000004
6,128529.929
7,94028.3835
8,70512.9378
9,50524.82600000001
