1684154119962,3.404,-0.200,3.588,0.000,3.912,4.700,5.052,4.300,2.992,-0.100,1.004,0.000,1.044,-0.300,3.604,-0.100
1684154120670,3.400,-0.100,3.588,-0.100,3.908,35.200,5.052,3.000,2.996,-0.100,1.004,0.000,1.044,-0.300,3.600,-0.200
1684154121379,3.408,-0.100,3.628,0.000,3.912,6.000,5.052,11.100,2.996,-0.100,1.004,-0.100,1.044,-0.300,3.612,-0.200
1684154122103,3.404,-0.200,3.604,0.000,3.916,14.600,5.052,11.900,2.996,-0.100,1.004,0.000,1.044,-0.300,3.596,-0.200
1684154122810,3.400,-0.200,3.588,0.000,3.912,3.200,5.052,28.000,2.980,-0.100,1.000,-0.100,1.044,-0.300,3.612,-0.200
1684154123519,3.412,-0.200,3.616,0.000,3.920,88.000,5.052,13.500,2.988,-0.100,1.004,0.000,1.044,-0.200,3.616,-0.100
1684154124236,3.412,-0.200,3.616,-0.100,3.808,28.400,5.052,47.900,2.984,-0.100,1.004,0.000,1.044,-0.300,3.624,-0.200
1684154124952,3.404,-0.200,3.592,0.000,3.916,9.600,5.052,3.500,2.980,-0.100,1.004,0.000,1.044,-0.300,3.620,-0.200
1684154125658,3.412,-0.200,3.584,0.000,3.896,1.100,5.056,3.400,2.968,-0.100,1.004,-0.100,1.044,-0.300,3.612,-0.200
1684154126369,3.392,-0.200,3.616,0.000,3.920,12.700,5.056,5.000,2.972,-0.100,1.004,0.000,1.044,-0.300,3.628,-0.100
1684154127076,3.404,-0.200,3.624,-0.100,3.924,1.800,5.064,-1.000,2.972,-0.100,1.004,0.000,1.044,-0.300,3.620,-0.100
1684154127797,3.384,-0.200,3.596,0.000,3.924,2.400,5.064,7.100,2.976,-0.100,1.004,0.000,1.044,-0.300,3.628,-0.100
1684154128502,3.404,-0.200,3.592,0.000,3.920,7.600,5.060,2.700,2.996,-0.100,1.004,0.000,1.044,-0.300,3.620,-0.200
1684154129219,3.404,-0.200,3.620,0.000,3.924,28.400,5.052,8.800,2.996,-0.100,1.004,0.000,1.044,-0.300,3.612,-0.200
1684154129925,3.396,-0.200,3.608,0.000,3.888,46.000,5.048,4.300,2.996,-0.100,1.004,0.000,1.044,-0.300,3.632,-0.100
1684154130638,3.388,-0.200,3.632,0.000,3.920,25.600,5.056,12.800,2.996,-0.100,1.004,-0.100,1.044,-0.300,3.632,-0.200
1684154131347,3.380,-0.200,3.588,0.000,3.916,29.200,5.056,12.800,2.972,-0.100,1.004,0.000,1.044,-0.300,3.632,-0.100
1684154132060,3.384,-0.200,3.588,0.000,3.904,3.000,5.060,0.000,2.988,-0.100,1.004,-0.100,1.044,-0.300,3.612,-0.200
1684154132771,3.380,-0.100,3.628,0.000,3.920,5.500,5.060,0.100,2.984,-0.100,1.004,-0.100,1.044,-0.300,3.616,-0.200
1684154133480,3.396,-0.200,3.632,0.000,3.924,11.000,5.064,4.300,2.968,-0.100,1.004,0.000,1.044,-0.300,3.624,-0.100
